name,seller_brand,unit_price,unit_weight,serving_weight,protein_per_serving,fat_per_serving,cost_per_30g_protein,fat_with_30g_protein,product_link,additional_notes,adjusted_cost,Type,fat_name,fat_seller,fat_unit_weight,fat_serving_weight,fat_price,fat_link
Nutrella Soya Mini Chunks,No Frills,2.49,220.0,15.0,8.0,0.0,0.6366477272727272,0.0,https://www.nofrills.ca/en/soya-mini-chunks/p/21521169_EA?source=nspt,,0.6366477272727272,Protein,,,,,,
Sea Chef Mackerel In Water,Dollarama,1.75,240.0,55.0,11.0,6.0,1.09375,16.36363636,,,0.6806973685128421,Protein,,,,,,
Sunrise Fresh Medium Firm Tofu (700g),T&T,2.69,700.0,175.0,16.0,9.0,1.2609375,16.875,https://www.tntsupermarket.com/eng/71078701-sunrise-traditional-tofu-4pcs.html,,0.8349769736842105,Protein,,,,,,
Instant Skim Milk Powder,NoFrills,25.49,2500.0,25.0,9.0,0.0,0.849666667,0.0,https://www.nofrills.ca/pasteurized-instant-skim-milk-powder/p/20052038_EA?source=nspt,,0.849666667,Protein,,,,,,
Large Grade A Eggs,NoName,3.93,12.0,1.0,6.5,5.5,1.511538462,25.38461538,https://www.nofrills.ca/pasteurized-instant-skim-milk-powder/p/20052038_EA?source=nspt,,0.8707773285132633,Protein,,,,,,
Yupik Organic Fermented Pea Protein Powder 80%,Amazon,28.99,1000.0,30.0,25.0,2.0,1.04364,2.4,https://www.amazon.ca/Yupik-Organic-Fermented-Protein-Powder/dp/B078JJ3M9J?crid=UFRCICF663V2&dib=eyJ2IjoiMSJ9.GKh7bJDr_Gl08eb2WP4xYpHYq5Tn00fQzvhrSoR453aL6X6PAF2vWbBp9KDfW-emgaOQabeOKYaBdDy6arpB5XdMgFHnWLWe40uoBk7KlzN4otAvHe_xP2Q1j7mAeyIR9aJBONHbquBAA9wWH_EYCyMr-N7XeR5p5coRQ6KlUrhG-4e77P-RjkLwP3breWYLm6ykpjLfjzBiOCqEZME0gjR0iKXtwUsB6-fUf3PuDfmxrRePlTvNAwFjtVCsnKXtBaWQtszstrS4qGsCNZRJ8QaAhcgC81qxKMO-3atp9Jk.sQQTPusHmnXVypQhl1GquJWd0oKIPMc0RB14NYfebps&dib_tag=se&keywords=pea%2Bprotein&qid=1729180349&sprefix=pea%2Bprotien%2Caps%2C105&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,,0.9830589473684209,Protein,,,,,,
"Bob's Red Mill Textured Vegitable Protein (TVP), 340g, Tan",Amazon,5.99,340.0,23.0,12.0,0.4,1.013014705882353,1.0,https://www.amazon.ca/Bobs-Red-Mill-Textured-Vegitable/dp/B08WBHWT94,,0.9877726006191953,Protein,,,,,,
Chunk Light Tuna,NoName,1.29,120.0,55.0,14.0,0.5,1.266964286,1.071428571,https://www.nofrills.ca/chunk-light-tuna/p/20521647_EA?source=nspt,,1.2399191732288632,Protein,,,,,,
Yupik Organic Soy Protein Powder 90%,Amazon,9.99,250.0,30.0,29.0,0.0,1.2401379310344827,0.0,https://www.amazon.ca/Yupik-Organic-Protein-Powder-250g/dp/B078JFJP3D?pd_rd_w=nidd2&content-id=amzn1.sym.1d3fa88f-aa61-4d59-895c-470dda2309ea&pf_rd_p=1d3fa88f-aa61-4d59-895c-470dda2309ea&pf_rd_r=96NJ4TTX6RM9Q9S67TKH&pd_rd_wg=9v6xb&pd_rd_r=3b5e020f-06eb-4813-9d81-f62b83598d4e&ref_=sspa_dk_detail_img_1&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&th=1,,1.2401379310344827,Protein,,,,,,
Pacifc Pride Salmon,Dollarama,2.25,213.0,53.0,12.0,2.5,1.399647887,6.25,,,1.241884729105263,Protein,,,,,,
,,,,,,19.0,,,,,,Fat Source,Yupik Dry Roasted Unsalted Peanuts,Yupik,1000.0,40.0,11.99,https://www.amazon.ca/dp/B00N75OUL0/?coliid=IHGV47P1C32EO&colid=1MLAKRGXL8TRQ&ref_=list_c_wl_lv_ov_lig_dp_it&th=1
